Film;Year
Whiplash;2014
Foxcatcher;2014
Still Alice;2014
Two Days, One Night;2014
Gone Girl;2014
Wild;2014
The Judge;2014
Into the Woods;2014
Spotlight;2015
The Big Short;2015
Bridge of Spies;2015
Brooklyn;2015
Mad Max: Fury Road;2015
The Martian;2015
The Revenant;2015
Room;2015
Trumbo;2015
Steve Jobs;2015
The Danish Girl;2015
Carol;2015
Joy;2015
45 Years;2015
Creed;2015
The Hateful Eight;2015
Moonlight;2016
Arrival;2016
Fences;2016
Hacksaw Ridge;2016
Hell or High Water;2016
Hidden Figures;2016
La La Land;2016
Lion;2016
Manchester by the Sea;2016
Captain Fantastic;2016
Elle;2016
Loving;2016
Jackie;2016
Florence Foster Jenkins;2016
Nocturnal Animals;2016
